altitude,id,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks,executionTime
,190,K3_FULL,13298,3/5/2019 10:25,41.928773,,-87.663913,60614,Southport Ave & Wrightwood Ave,,Southport Ave & Wrightwood Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,191,K3_FULL,13056,3/5/2019 10:23,41.880381,,-87.639507,60661,Canal St & Monroe St (*),,Canal St & Monroe St (*),IN_SERVICE,1,In Service,FALSE,28,3/5/2019 10:27
,192,K3_FULL,13011,3/5/2019 10:27,41.879255,,-87.639904,60661,Canal St & Adams St,,Canal St & Adams St,IN_SERVICE,1,In Service,FALSE,47,3/5/2019 10:27
,193,K3_FULL,13213,3/5/2019 10:26,41.841707,,-87.626938,60616,State St & 29th St,,State St & 29th St,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,194,K3_FULL,13339,3/5/2019 10:24,41.886875,,-87.62603,60601,Wabash Ave & Wacker Pl,,Wabash Ave & Wacker Pl,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,195,K3_FULL,13263,3/5/2019 10:25,41.884728,,-87.619521,60601,Columbus Dr & Randolph St,,Columbus Dr & Randolph St,IN_SERVICE,1,In Service,FALSE,55,3/5/2019 10:27
,196,K3_FULL,13427,3/5/2019 10:23,41.890573,,-87.622072,60611,Cityfront Plaza Dr & Pioneer Ct,,Cityfront Plaza Dr & Pioneer Ct,IN_SERVICE,1,In Service,FALSE,31,3/5/2019 10:27
,197,K3_FULL,13036,3/5/2019 10:24,41.882134,,-87.625125,60602,Michigan Ave & Madison St,,Michigan Ave & Madison St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,198,K3_FULL,13159,3/5/2019 10:25,41.881892,,-87.648789,60661,Green St & Madison St,,Green St & Madison St,IN_SERVICE,1,In Service,FALSE,27,3/5/2019 10:27
,199,K3_FULL,13004,3/5/2019 10:24,41.891466,,-87.626761,60611,Wabash Ave & Grand Ave,,Wabash Ave & Grand Ave,IN_SERVICE,1,In Service,FALSE,31,3/5/2019 10:27
